Place Name,Municipality,Incorporation Date,Government,County,Map,Pop Rank,2014 Estimate,2010 Census,Change,Pop Density,Land Area,Water Area,Total Area,INCITS,WGS84
Peetz,Town of Peetz,"May 17, 1917",statutory town,Logan County,map,233,237,238,−0.42%,1196 mi−2 462 km−2,0.1914 mi−2 0.4958 km−2,none,0.1914 mi−2 0.4958 km−2,0858235,40°57′43″N 103°06′51″W﻿ / ﻿40.962046°N 103.114231°W
Pierce,Town of Pierce,"August 30, 1918",statutory town,Weld County,map,157,871,834,+4.44%,1031 mi−2 398 km−2,0.8390 mi−2 2.1730 km−2,none,0.8390 mi−2 2.1730 km−2,0859005,40°38′01″N 104°45′19″W﻿ / ﻿40.633499°N 104.755178°W
Pitkin,Town of Pitkin,"April 5, 1880",statutory town,Gunnison County,map,262,67,66,+1.52%,248 mi−2 96 km−2,0.2700 mi−2 0.6992 km−2,none,0.2700 mi−2 0.6992 km−2,0859830,38°36′31″N 106°30′59″W﻿ / ﻿38.608612°N 106.516466°W
Platteville,Town of Platteville,"January 1, 1887",statutory town,Weld County,map,98,"2,608","2,485",+4.95%,894 mi−2 345 km−2,2.8731 mi−2 7.4413 km−2,0.0103 mi−2 0.0266 km−2,2.8834 mi−2 7.4680 km−2,0860160,40°13′00″N 104°49′27″W﻿ / ﻿40.216683°N 104.824077°W
Poncha Springs,Town of Poncha Springs,"December 16, 1880",statutory town,Chaffee County,map,165,764,737,+3.66%,281 mi−2 109 km−2,2.7146 mi−2 7.0307 km−2,none,2.7146 mi−2 7.0307 km−2,0860600,38°31′08″N 106°04′21″W﻿ / ﻿38.518844°N 106.072576°W
Pritchett,Town of Pritchett,1923,statutory town,Baca County,map,247,136,140,−2.86%,588 mi−2 227 km−2,0.2330 mi−2 0.6036 km−2,none,0.2330 mi−2 0.6036 km−2,0861315,37°22′12″N 102°51′31″W﻿ / ﻿37.370009°N 102.858749°W
Pueblo,City of Pueblo,"November 15, 1885",home rule municipality,Pueblo County[8],map,9,"108,423","106,595",+1.71%,2020 mi−2 780 km−2,53.5917 mi−2 138.8020 km−2,0.7852 mi−2 2.0337 km−2,54.3770 mi−2 140.8357 km−2,0862000,38°16′12″N 104°36′44″W﻿ / ﻿38.269934°N 104.612294°W
Ramah,Town of Ramah,"July 18, 1927",statutory town,El Paso County,map,249,127,123,+3.25%,517 mi−2 200 km−2,0.2454 mi−2 0.6356 km−2,none,0.2454 mi−2 0.6356 km−2,0862660,39°07′20″N 104°10′02″W﻿ / ﻿39.122238°N 104.167334°W
Rangely,Town of Rangely,"August 27, 1946",statutory town,Rio Blanco County,map,104,"2,430","2,365",+2.75%,586 mi−2 226 km−2,4.1505 mi−2 10.7496 km−2,none,4.1505 mi−2 10.7496 km−2,0862880,40°05′43″N 108°45′24″W﻿ / ﻿40.095177°N 108.756740°W
Raymer[32],Town of Raymer,1919,statutory town,Weld County,map,258,102,96,+6.25%,139 mi−2 54 km−2,0.7188 mi−2 1.8616 km−2,none,0.7188 mi−2 1.8616 km−2,0863045,40°36′28″N 103°50′40″W﻿ / ﻿40.607758°N 103.844329°W
Red Cliff,Town of Red Cliff,"December 18, 1880",statutory town,Eagle County,map,222,270,267,+1.12%,1120 mi−2 433 km−2,0.2348 mi−2 0.6080 km−2,none,0.2348 mi−2 0.6080 km−2,0863265,39°30′33″N 106°22′12″W﻿ / ﻿39.509143°N 106.370030°W
Rico,Town of Rico,"February 25, 1880",home rule municipality,Dolores County,map,226,256,265,−3.40%,346 mi−2 134 km−2,0.7567 mi−2 1.9599 km−2,none,0.7567 mi−2 1.9599 km−2,0864090,37°41′19″N 108°01′53″W﻿ / ﻿37.688569°N 108.031434°W
Ridgway,Town of Ridgway,"April 2, 1891",home rule municipality,Ouray County,map,147,953,924,+3.14%,399 mi−2 154 km−2,2.3350 mi−2 6.0475 km−2,none,2.3350 mi−2 6.0475 km−2,0864200,38°09′33″N 107°45′11″W﻿ / ﻿38.159128°N 107.753111°W
Rifle,City of Rifle,"August 18, 1905",home rule municipality,Garfield County,map,49,"9,488","9,172",+3.45%,1367 mi−2 528 km−2,6.9404 mi−2 17.9755 km−2,0.0629 mi−2 0.1628 km−2,7.0033 mi−2 18.1384 km−2,0864255,39°32′15″N 107°46′13″W﻿ / ﻿39.537565°N 107.770345°W
Rockvale,Town of Rockvale,"September 30, 1886",statutory town,Fremont County,map,194,498,487,+2.26%,260 mi−2 101 km−2,1.9169 mi−2 4.9648 km−2,none,1.9169 mi−2 4.9648 km−2,0864970,38°21′53″N 105°09′53″W﻿ / ﻿38.364713°N 105.164779°W
Rocky Ford,City of Rocky Ford,"August 19, 1887",statutory city,Otero County,map,87,"3,873","3,957",−2.12%,2355 mi−2 909 km−2,1.6608 mi−2 4.3014 km−2,0.0140 mi−2 0.0362 km−2,1.6748 mi−2 4.3376 km−2,0865190,38°03′01″N 103°43′22″W﻿ / ﻿38.050212°N 103.722672°W
Romeo,Town of Romeo,"September 4, 1923",statutory town,Conejos County,map,208,394,404,−2.48%,1715 mi−2 662 km−2,0.2332 mi−2 0.6041 km−2,none,0.2332 mi−2 0.6041 km−2,0865740,37°10′19″N 105°59′07″W﻿ / ﻿37.171819°N 105.985414°W
Rye,Town of Rye,"November 22, 1937",statutory town,Pueblo County,map,241,154,153,+0.65%,1588 mi−2 613 km−2,0.0951 mi−2 0.2462 km−2,none,0.0951 mi−2 0.2462 km−2,0866895,37°55′17″N 104°55′56″W﻿ / ﻿37.921281°N 104.932135°W
Saguache[33],Town of Saguache[33],"August 13, 1891",statutory town,Saguache County[8][33],map,197,480,485,−1.03%,1215 mi−2 469 km−2,0.3985 mi−2 1.0321 km−2,none,0.3985 mi−2 1.0321 km−2,0867005,38°05′10″N 106°08′27″W﻿ / ﻿38.086247°N 106.140876°W
Salida,City of Salida,"March 23, 1891",statutory city,Chaffee County[8],map,72,"5,406","5,236",+3.25%,2094 mi−2 809 km−2,2.5829 mi−2 6.6896 km−2,none,2.5829 mi−2 6.6896 km−2,0867280,38°31′49″N 105°59′56″W﻿ / ﻿38.530275°N 105.998784°W
San Luis,Town of San Luis,1885,statutory town,Costilla County[8],map,182,622,629,−1.11%,1108 mi−2 428 km−2,0.5595 mi−2 1.4490 km−2,none,0.5595 mi−2 1.4490 km−2,0868105,37°12′08″N 105°25′21″W﻿ / ﻿37.202341°N 105.422469°W
Sanford,Town of Sanford,"April 9, 1907",home rule municipality,Conejos County,map,158,870,879,−1.02%,594 mi−2 229 km−2,1.4645 mi−2 3.7931 km−2,none,1.4645 mi−2 3.7931 km−2,0867830,37°15′27″N 105°54′03″W﻿ / ﻿37.257425°N 105.900741°W
Sawpit[34],Town of Sawpit,1896,statutory town,San Miguel County,map,267,42,40,+5.00%,1333 mi−2 515 km−2,0.0307 mi−2 0.0796 km−2,none,0.0307 mi−2 0.0796 km−2,0868655,37°59′41″N 108°00′04″W﻿ / ﻿37.994621°N 108.001189°W
Sedgwick,Town of Sedgwick,"January 28, 1918",statutory town,Sedgwick County,map,243,145,146,−0.68%,425 mi−2 164 km−2,0.3338 mi−2 0.8647 km−2,none,0.3338 mi−2 0.8647 km−2,0868930,40°56′06″N 102°31′32″W﻿ / ﻿40.935068°N 102.525674°W
Seibert,Town of Seibert,"June 21, 1917",statutory town,Kit Carson County,map,235,218,181,+20.44%,525 mi−2 203 km−2,0.3428 mi−2 0.8880 km−2,none,0.3428 mi−2 0.8880 km−2,0869040,39°17′53″N 102°52′10″W﻿ / ﻿39.297967°N 102.869524°W
Severance,Town of Severance,"November 20, 1920",statutory town,Weld County,map,90,"3,525","3,165",+11.37%,555 mi−2 214 km−2,6.1160 mi−2 15.8404 km−2,0.0963 mi−2 0.2495 km−2,6.2123 mi−2 16.0899 km−2,0869150,40°32′22″N 104°52′12″W﻿ / ﻿40.539441°N 104.870121°W
Sheridan,City of Sheridan,"April 1, 1890",home rule municipality,Arapahoe County,map,69,"5,949","5,664",+5.03%,2644 mi−2 1021 km−2,2.2220 mi−2 5.7549 km−2,0.0665 mi−2 0.1723 km−2,2.2885 mi−2 5.9273 km−2,0869700,39°38′52″N 105°01′03″W﻿ / ﻿39.647757°N 105.017457°W
Sheridan Lake,Town of Sheridan Lake,"June 11, 1951",statutory town,Kiowa County,map,259,88,88,0.00%,284 mi−2 110 km−2,0.3171 mi−2 0.8212 km−2,none,0.3171 mi−2 0.8212 km−2,0869645,38°28′00″N 102°17′39″W﻿ / ﻿38.466677°N 102.294142°W
Silt,Town of Silt,"May 19, 1915",home rule municipality,Garfield County,map,92,"3,007","2,930",+2.63%,1762 mi−2 680 km−2,1.6915 mi−2 4.3809 km−2,0.0456 mi−2 0.1181 km−2,1.7371 mi−2 4.4990 km−2,0870195,39°32′52″N 107°39′15″W﻿ / ﻿39.547648°N 107.654073°W
Silver Cliff,Town of Silver Cliff,"February 10, 1879",statutory town,Custer County,map,186,584,587,−0.51%,37 mi−2 14 km−2,15.4639 mi−2 40.0514 km−2,0.0017 mi−2 0.0044 km−2,15.4656 mi−2 40.0558 km−2,0870250,38°07′45″N 105°23′57″W﻿ / ﻿38.129203°N 105.399189°W
Silver Plume,Town of Silver Plume,"September 24, 1880",statutory town,Clear Creek County,map,239,172,170,+1.18%,642 mi−2 248 km−2,0.2586 mi−2 0.6697 km−2,0.0026 mi−2 0.0068 km−2,0.2612 mi−2 0.6765 km−2,0870360,39°41′44″N 105°43′36″W﻿ / ﻿39.695445°N 105.726666°W
Silverthorne,Town of Silverthorne,"September 5, 1967",home rule municipality,Summit County,map,83,"4,271","3,887",+9.88%,1012 mi−2 391 km−2,3.9738 mi−2 10.2920 km−2,0.0568 mi−2 0.1472 km−2,4.0306 mi−2 10.4392 km−2,0870525,39°39′14″N 106°05′33″W﻿ / ﻿39.654012°N 106.092443°W
Silverton,Town of Silverton,"November 15, 1885",statutory town,San Juan County[8],map,179,655,637,+2.83%,742 mi−2 287 km−2,0.8474 mi−2 2.1947 km−2,none,0.8474 mi−2 2.1947 km−2,0870580,37°48′40″N 107°39′53″W﻿ / ﻿37.811092°N 107.664643°W
Simla,Town of Simla,"January 15, 1913",statutory town,Elbert County,map,181,627,618,+1.46%,1099 mi−2 424 km−2,0.5677 mi−2 1.4703 km−2,none,0.5677 mi−2 1.4703 km−2,0870635,39°08′28″N 104°04′54″W﻿ / ﻿39.141051°N 104.081754°W
Snowmass Village,Town of Snowmass Village,1977,home rule municipality,Pitkin County,map,94,"2,898","2,826",+2.55%,105 mi−2 40 km−2,27.3167 mi−2 70.7498 km−2,0.0820 mi−2 0.2123 km−2,27.3986 mi−2 70.9621 km−2,0871755,39°13′01″N 106°56′38″W﻿ / ﻿39.216872°N 106.943974°W
South Fork,Town of South Fork,"May 19, 1992",statutory town,Rio Grande County,map,212,364,386,−5.70%,150 mi−2 58 km−2,2.4754 mi−2 6.4112 km−2,0.0009 mi−2 0.0023 km−2,2.4763 mi−2 6.4136 km−2,0872395,37°40′09″N 106°38′34″W﻿ / ﻿37.669186°N 106.642851°W
Springfield,Town of Springfield,"January 16, 1889",statutory town,Baca County[8],map,128,"1,405","1,451",−3.17%,1260 mi−2 486 km−2,1.1263 mi−2 2.9172 km−2,none,1.1263 mi−2 2.9172 km−2,0873330,37°24′18″N 102°37′08″W﻿ / ﻿37.404915°N 102.618898°W
Starkville,Town of Starkville,"March 2, 1954",statutory town,Las Animas County,map,266,53,59,−10.17%,755 mi−2 291 km−2,0.0729 mi−2 0.1888 km−2,none,0.0729 mi−2 0.1888 km−2,0873715,37°07′01″N 104°31′24″W﻿ / ﻿37.116820°N 104.523298°W
Steamboat Springs,City of Steamboat Springs,"July 19, 1900",home rule municipality,Routt County[8],map,41,"12,260","12,088",+1.42%,1192 mi−2 460 km−2,10.1468 mi−2 26.2800 km−2,0.0129 mi−2 0.0334 km−2,10.1597 mi−2 26.3134 km−2,0873825,40°28′32″N 106°49′23″W﻿ / ﻿40.475587°N 106.822935°W
Sterling,City of Sterling,"December 3, 1884",home rule municipality,Logan County[8],map,36,"14,629","14,777",−1.00%,1923 mi−2 743 km−2,7.6098 mi−2 19.7092 km−2,none,7.6098 mi−2 19.7092 km−2,0873935,40°37′15″N 103°11′31″W﻿ / ﻿40.620706°N 103.191867°W
Stratton,Town of Stratton,"April 15, 1917",statutory town,Kit Carson County,map,177,663,658,+0.76%,1293 mi−2 499 km−2,0.5137 mi−2 1.3305 km−2,none,0.5137 mi−2 1.3305 km−2,0874485,39°18′10″N 102°36′13″W﻿ / ﻿39.302883°N 102.603473°W
Sugar City,Town of Sugar City,"July 2, 1900",statutory town,Crowley County,map,228,253,258,−1.94%,637 mi−2 246 km−2,0.3849 mi−2 0.9968 km−2,none,0.3849 mi−2 0.9968 km−2,0874815,38°13′58″N 103°39′48″W﻿ / ﻿38.232773°N 103.663312°W
Superior,Town of Superior,"June 10, 1904",statutory town,Boulder CountyJefferson County,map,39,"12,855","12,483",+2.98%,3240 mi−2 1251 km−2,3.9705 mi−2 10.2835 km−2,0.0406 mi−2 0.1052 km−2,4.0111 mi−2 10.3887 km−2,0875640,39°55′52″N 105°09′33″W﻿ / ﻿39.931190°N 105.159085°W
Swink,Town of Swink,"June 6, 1906",statutory town,Otero County,map,183,602,617,−2.43%,2307 mi−2 891 km−2,0.2644 mi−2 0.6847 km−2,none,0.2644 mi−2 0.6847 km−2,0875970,38°00′51″N 103°37′41″W﻿ / ﻿38.014148°N 103.628163°W
Telluride,Town of Telluride,"February 10, 1887[35]",home rule municipality,San Miguel County[8],map,107,"2,369","2,325",+1.89%,1062 mi−2 410 km−2,2.1832 mi−2 5.6545 km−2,none,2.1832 mi−2 5.6545 km−2,0876795,37°56′23″N 107°49′04″W﻿ / ﻿37.939664°N 107.817888°W
Thornton,City of Thornton,"June 12, 1956",home rule municipality,Adams CountyWeld County,map,6,"130,307","118,772",+9.71%,3628 mi−2 1401 km−2,35.1056 mi−2 90.9232 km−2,1.0541 mi−2 2.7300 km−2,36.1597 mi−2 93.6532 km−2,0877290,39°55′10″N 104°56′34″W﻿ / ﻿39.919420°N 104.942808°W
Timnath,Town of Timnath,"July 6, 1920",home rule municipality,Larimer County,map,114,"1,983",625,+217.28%,320 mi−2 124 km−2,4.8220 mi−2 12.4890 km−2,0.0168 mi−2 0.0435 km−2,4.8388 mi−2 12.5325 km−2,0877510,40°31′59″N 104°57′40″W﻿ / ﻿40.533090°N 104.961193°W
Trinidad,City of Trinidad,"December 30, 1879",home rule municipality,Las Animas County[8],map,53,"8,193","9,096",−9.93%,913 mi−2 352 km−2,9.2756 mi−2 24.0238 km−2,0.0004 mi−2 0.0010 km−2,9.2760 mi−2 24.0248 km−2,0878610,37°10′23″N 104°29′25″W﻿ / ﻿37.173157°N 104.490326°W
Two Buttes,Town of Two Buttes,"October 19, 1911",statutory town,Baca County,map,267,42,43,−2.33%,169 mi−2 65 km−2,0.2480 mi−2 0.6422 km−2,none,0.2480 mi−2 0.6422 km−2,0879270,37°33′38″N 102°23′48″W﻿ / ﻿37.560664°N 102.396556°W
Vail,Town of Vail,1966,home rule municipality,Eagle County,map,73,"5,328","5,305",+0.43%,1137 mi−2 439 km−2,4.6711 mi−2 12.0981 km−2,0.0154 mi−2 0.0400 km−2,4.6865 mi−2 12.1381 km−2,0880040,39°38′15″N 106°21′52″W﻿ / ﻿39.637527°N 106.364526°W
Victor,City of Victor,"July 16, 1894",statutory city,Teller County,map,206,400,397,+0.76%,1458 mi−2 563 km−2,0.2701 mi−2 0.6997 km−2,none,0.2701 mi−2 0.6997 km−2,0880865,38°42′32″N 105°08′31″W﻿ / ﻿38.709004°N 105.141855°W
Vilas,Town of Vilas,"June 25, 1888",statutory town,Baca County,map,253,110,114,−3.51%,876 mi−2 338 km−2,0.1278 mi−2 0.3311 km−2,none,0.1278 mi−2 0.3311 km−2,0881030,37°22′25″N 102°26′51″W﻿ / ﻿37.373664°N 102.447416°W
Vona,Town of Vona,"August 9, 1919",statutory town,Kit Carson County,map,255,107,106,+0.94%,488 mi−2 188 km−2,0.2213 mi−2 0.5732 km−2,none,0.2213 mi−2 0.5732 km−2,0881690,39°18′08″N 102°44′36″W﻿ / ﻿39.302119°N 102.743352°W
Walden,Town of Walden,"December 2, 1890",statutory town,Jackson County[8],map,184,601,608,−1.15%,1760 mi−2 680 km−2,0.3352 mi−2 0.8683 km−2,none,0.3352 mi−2 0.8683 km−2,0882130,40°43′54″N 106°16′53″W﻿ / ﻿40.731584°N 106.281336°W
Walsenburg,City of Walsenburg,"June 16, 1873",statutory city,Huerfano County[8],map,95,"2,896","3,068",−5.61%,979 mi−2 378 km−2,2.9898 mi−2 7.7435 km−2,none,2.9898 mi−2 7.7435 km−2,0882350,37°37′50″N 104°46′54″W﻿ / ﻿37.630598°N 104.781719°W
Walsh,Town of Walsh,"July 19, 1928",statutory town,Baca County,map,192,524,546,−4.03%,1178 mi−2 455 km−2,0.4473 mi−2 1.1584 km−2,none,0.4473 mi−2 1.1584 km−2,0882460,37°23′10″N 102°16′48″W﻿ / ﻿37.386107°N 102.279933°W
Ward,Town of Ward,"June 9, 1896",home rule municipality,Boulder County,map,241,154,150,+2.67%,270 mi−2 104 km−2,0.5731 mi−2 1.4844 km−2,0.0014 mi−2 0.0035 km−2,0.5745 mi−2 1.4879 km−2,0882735,40°04′24″N 105°30′56″W﻿ / ﻿40.073201°N 105.515621°W
Wellington,Town of Wellington,"November 10, 1905",statutory town,Larimer County,map,57,"7,185","6,289",+14.25%,1999 mi−2 772 km−2,3.3645 mi−2 8.7140 km−2,0.0047 mi−2 0.0123 km−2,3.3693 mi−2 8.7263 km−2,0883230,40°41′58″N 105°00′21″W﻿ / ﻿40.699366°N 105.005825°W
Westcliffe,Town of Westcliffe,"November 21, 1887",statutory town,Custer County[8],map,188,572,568,+0.70%,457 mi−2 177 km−2,1.2351 mi−2 3.1990 km−2,0.0016 mi−2 0.0042 km−2,1.2367 mi−2 3.2032 km−2,0883450,38°08′03″N 105°27′55″W﻿ / ﻿38.134203°N 105.465306°W
Westminster,City of Westminster,"May 24, 1911",home rule municipality,Adams CountyJefferson County,map,8,"112,090","106,114",+5.63%,3502 mi−2 1352 km−2,31.6761 mi−2 82.0407 km−2,2.2765 mi−2 5.8961 km−2,33.9526 mi−2 87.9368 km−2,0883835,39°52′56″N 105°03′52″W﻿ / ﻿39.882190°N 105.064426°W
Wheat Ridge,City of Wheat Ridge,"August 20, 1969",home rule municipality,Jefferson County,map,24,"31,034","30,166",+2.88%,3301 mi−2 1274 km−2,9.3671 mi−2 24.2606 km−2,0.2458 mi−2 0.6367 km−2,9.6129 mi−2 24.8974 km−2,0884440,39°46′22″N 105°06′17″W﻿ / ﻿39.772675°N 105.104801°W
Wiggins,Town of Wiggins,"October 11, 1974",statutory town,Morgan County,map,153,895,893,+0.22%,678 mi−2 262 km−2,1.3265 mi−2 3.4355 km−2,0.0044 mi−2 0.0113 km−2,1.3308 mi−2 3.4468 km−2,0884770,40°13′36″N 104°04′25″W﻿ / ﻿40.226588°N 104.073498°W
Wiley,Town of Wiley,"January 28, 1909",statutory town,Prowers County,map,209,387,405,−4.44%,1298 mi−2 501 km−2,0.3051 mi−2 0.7902 km−2,none,0.3051 mi−2 0.7902 km−2,0885045,38°09′19″N 102°43′09″W﻿ / ﻿38.155356°N 102.719248°W
Williamsburg[36],Town of Williamsburg,"April 7, 1888",statutory town,Fremont County,map,180,653,662,−1.36%,181 mi−2 70 km−2,3.5678 mi−2 9.2405 km−2,none,3.5678 mi−2 9.2405 km−2,0885155,38°23′02″N 105°10′16″W﻿ / ﻿38.383984°N 105.171179°W
Windsor,Town of Windsor,"April 15, 1890",home rule municipality,Weld CountyLarimer County,map,27,"21,106","18,644",+13.21%,836 mi−2 323 km−2,24.4316 mi−2 63.2776 km−2,0.3185 mi−2 0.8248 km−2,24.7501 mi−2 64.1025 km−2,0885485,40°28′39″N 104°55′00″W﻿ / ﻿40.477555°N 104.916800°W
Winter Park,Town of Winter Park,"September 1, 1979",home rule municipality,Grand County,map,146,955,999,−4.40%,57 mi−2 22 km−2,16.5337 mi−2 42.8221 km−2,none,16.5337 mi−2 42.8221 km−2,0885705,39°52′40″N 105°46′58″W﻿ / ﻿39.877821°N 105.782813°W
Woodland Park,City of Woodland Park,"June 6, 1891",home rule municipality,Teller County,map,56,"7,194","7,200",−0.08%,1083 mi−2 418 km−2,6.6065 mi−2 17.1108 km−2,none,6.6065 mi−2 17.1108 km−2,0886090,38°59′55″N 105°03′34″W﻿ / ﻿38.998706°N 105.059533°W
Wray,City of Wray,"June 22, 1906",home rule municipality,Yuma County[8],map,106,"2,400","2,342",+2.48%,695 mi−2 268 km−2,3.4376 mi−2 8.9034 km−2,0.0029 mi−2 0.0075 km−2,3.4405 mi−2 8.9109 km−2,0886310,40°04′48″N 102°13′43″W﻿ / ﻿40.079953°N 102.228622°W
Yampa,Town of Yampa,"February 25, 1907",statutory town,Routt County,map,202,436,429,+1.63%,1782 mi−2 688 km−2,0.2408 mi−2 0.6235 km−2,none,0.2408 mi−2 0.6235 km−2,0886475,40°09′11″N 106°54′31″W﻿ / ﻿40.152996°N 106.908496°W
Yuma,City of Yuma,"March 24, 1887",home rule municipality,Yuma County,map,89,"3,606","3,524",+2.33%,1147 mi−2 443 km−2,3.1181 mi−2 8.0760 km−2,0.0387 mi−2 0.1002 km−2,3.1568 mi−2 8.1761 km−2,0886750,40°07′28″N 102°43′03″W﻿ / ﻿40.124400°N 102.717612°W
